ComponentName : Latency2bit Latency8bit Latency16bit Latency32bitc Latency64bit
adder : 5.361 6.384 6.618 7.086 8.022
mul : 5.355 8.624 9.052 12.975 17.103
sub : 5.361 6.384 6.498 7.086 8.022
register : 4.090 4.090 4.090 4.090 4.090
mux : 5.361 6.384 6.498 7.086 8.022
comp : 5.361 6.827 6.944 7.178 7.646
shl : 5.361 6.253 6.842 7.044 7.991
shr : 5.361 6.253 6.842 7.044 7.708
div : 5.361 18.109 35.525 81.639 220.239
mod : 5.361 19.873 38.282 85.710 224.488
inc: 5.361 5.919 6.620 7.088 8.024
dec : 5.361 5.919 6.618 7.086 8.022
